# name,base_url
US,http://176.126.114.231:1188
US,http://142.171.108.58:1188
KR,http://146.56.136.139:1188
CN,http://101.133.234.93:1188
CN,http://182.121.203.95:1188
CN,http://39.101.68.92:1188
CN,http://117.72.16.154:1188
US,http://150.136.117.14:1188
CN,http://143.92.32.178:1188
CN,http://14.103.226.144:1188
KR,http://210.179.29.153:1188
CN,http://101.126.131.34:1188
US,http://132.226.122.80:1188
KR,http://129.154.194.192:1188
KR,http://132.145.93.176:1188
CN,http://143.92.32.168:1188
US,http://78.138.0.41:1188
AU,http://185.222.217.79:1188
CA,http://74.48.204.160:1188
US,http://192.227.178.169:1188
CN,http://106.14.166.28:1188
US,http://23.105.217.125:7030
CN,http://118.31.12.33:1188
US,http://156.248.8.101:1188
US,http://35.212.135.163:1188
JP,http://160.251.234.180:1188
US,http://43.159.137.212:1188
CN,http://42.192.112.223:1188
US,http://158.101.8.29:1188
TR,http://89.213.156.192:1188
NL,http://185.246.152.215:1188
US,http://96.45.185.138:1188
RU,http://82.146.50.179:1188
CN,http://114.222.194.69:1188
CN,http://8.138.99.112:1188
US,http://192.3.233.112:1188
CN,http://47.116.37.56:1188
US,http://167.99.24.220:1188
US,http://148.135.90.74:1188
FR,http://deeplx.115113.xyz
US,https://deeplx.20020415.xyz
US,http://deeplx.20020415.xyz
CN,http://120.236.203.50:12166
US,http://deeplx.vcuixb.eu.org
US,https://deeplx.vcuixb.eu.org
SG,http://www.skyfffire.com:1188
US,https://xn--kntj-loaacb.io
US,http://deeplx111.888022.xyz
US,https://deeplx111.888022.xyz
CA,http://deeplx.techkoala.net
US,https://deeplx.techkoala.net
JP,http://154.31.112.3:8088
CA,http://deeplx.170888.xyz
CA,https://deeplx.170888.xyz
US,https://vercel.vpyo.asia
US,http://vercel.vpyo.asia
US,http://deep.yikus.cn
CA,https://deep.yikus.cn
US,https://deeplx.iloveszy.com
US,http://deeplx.iloveszy.com
CA,https://deeplx.paxton.uk.eu.org
US,https://deeplx.focusprogram.top
US,http://deeplx.focusprogram.top
JP,http://150.230.208.99:1189
US,https://dlx.funfan.top
CA,https://deeplx.pallava.top
CA,http://deeplx.pallava.top
CA,https://74.48.173.163
CA,http://192.99.207.137:8088
US,http://38.59.244.237:4500
CN,https://deepl.kevinzhang.cn
CN,http://deepl.kevinzhang.cn
CN,http://171.110.55.177:1199
JP,http://132.226.2.131:3152
CN,http://61.224.65.125:1198
DK,http://194.34.254.58:30006
CN,http://120.26.96.5:1188
US,http://107.172.153.217:1188
US,http://184.105.3.69:1188
US,http://154.40.36.182:1188
KR,http://222.232.57.11:1188
CN,http://123.116.153.56:8100
RU,http://31.135.15.119:1188
CN,http://116.237.245.127:1188
